state,city,station,latitude,longitude,last_update,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2
Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027,2026-08-23 10:00:00,31.0,5.0,21.0,20.0,70.0,70.0,14.0
Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13.20488,79.097889,2026-08-23 10:00:00,21.0,6.0,28.0,29.0,73.0,75.0,22.0
Andhra Pradesh,Eluru,"District Court, Eluru - APPCB",16.711754,81.092095,2026-08-23 10:00:00,10.0,4.0,18.0,10.0,53.0,51.0,9.0
Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",16.316553,80.413302,2026-08-23 10:00:00,19.0,7.0,33.0,22.0,67.0,58.0,11.0
Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.465052,78.824187,2026-08-23 10:00:00,42.0,2.0,24.0,29.0,44.0,46.0,17.0
Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",14.438164,79.966814,2026-08-23 10:00:00,33.0,7.0,26.0,22.0,55.0,48.0,7.0
Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.9872867,81.7363176,2026-08-23 10:00:00,17.0,2.0,9.0,18.0,50.0,26.0,5.0
Andhra Pradesh,Srikakulam,"Chinna Bharatham Colony, Srikakulam - APPCB",18.292191,83.897173,2026-08-23 10:00:00,70.0,2.0,23.0,10.0,25.0,17.0,14.0
Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",13.67,79.35,2026-08-23 10:00:00,16.0,2.0,43.0,9.0,41.0,20.0,7.0
Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",13.615387,79.40923,2026-08-23 10:00:00,27.0,5.0,25.0,32.0,80.0,48.0,11.0
Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.536107,80.594233,2026-08-23 10:00:00,34.0,3.0,15.0,16.0,66.0,64.0,8.0
Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222,2026-08-23 10:00:00,31.0,6.0,32.0,21.0,75.0,68.0,16.0
Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",16.554731,80.64911,2026-08-23 10:00:00,19.0,3.0,18.0,19.0,69.0,65.0,16.0
Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,2026-08-23 10:00:00,13.0,4.0,70.0,25.0,73.0,49.0,11.0
Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",27.103358,93.679645,2026-08-23 10:00:00,9.0,1.0,8.0,7.0,40.0,33.0,11.0
Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.071318,91.87488,2026-08-23 10:00:00,58.0,4.0,8.0,19.0,93.0,113.0,30.0
Assam,Guwahati,"IITG, Guwahati - PCBA",26.2028636,91.70046436,2026-08-23 10:00:00,84.0,1.0,2.0,2.0,,,32.0
Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26.10887,91.589544,2026-08-23 10:00:00,35.0,4.0,14.0,14.0,46.0,59.0,13.0
Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",26.1875,91.744194,2026-08-23 10:00:00,15.0,1.0,2.0,11.0,10.0,10.0,28.0
Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26.181742,91.78063,2026-08-23 10:00:00,13.0,1.0,3.0,11.0,38.0,39.0,6.0
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26.349082,92.68449,2026-08-23 10:00:00,22.0,4.0,1.0,11.0,51.0,58.0,11.0
Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26.446912,91.439057,2026-08-23 10:00:00,22.0,6.0,14.0,19.0,64.0,89.0,8.0
Assam,Silchar,"Tarapur, Silchar - PCBA",24.82827,92.79525,2026-08-23 10:00:00,28.0,1.0,20.0,5.0,47.0,37.0,6.0
Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26.987634,94.636574,2026-08-23 10:00:00,16.0,3.0,11.0,23.0,31.0,21.0,8.0
Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26.146529,87.454184,2026-08-23 10:00:00,27.0,4.0,15.0,38.0,53.0,45.0,21.0
Bihar,Arrah,"New DM Office, Arrah - BSPCB",25.5626095,84.663264,2026-08-23 10:00:00,52.0,2.0,7.0,8.0,42.0,35.0,5.0
Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",24.75746,84.366208,2026-08-23 10:00:00,,0.0,1.0,1.0,50.0,68.0,22.0
Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",25.42742023,86.13886079,2026-08-23 10:00:00,17.0,16.0,9.0,39.0,133.0,79.0,21.0
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26.80365,84.51954,2026-08-23 10:00:00,34.0,3.0,26.0,20.0,21.0,23.0,17.0
Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.251013,86.989001,2026-08-23 10:00:00,28.0,4.0,12.0,18.0,166.0,110.0,22.0
Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947,2026-08-23 10:00:00,64.0,4.0,17.0,16.0,139.0,177.0,33.0
Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25.7808257,84.7446768,2026-08-23 10:00:00,88.0,2.0,1.0,2.0,114.0,94.0,29.0
Bihar,Gaya,"Collectorate, Gaya - BSPCB",24.7955,84.9994,2026-08-23 10:00:00,12.0,,9.0,29.0,,97.0,7.0
Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24.792403,84.992416,2026-08-23 10:00:00,51.0,1.0,,44.0,,,42.0
Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348,2026-08-23 10:00:00,29.0,8.0,30.0,6.0,46.0,38.0,10.0
Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25.697189,85.2459,2026-08-23 10:00:00,29.0,9.0,14.0,19.0,52.0,60.0,7.0
Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25.560083,87.553265,2026-08-23 10:00:00,74.0,1.0,2.0,28.0,33.0,32.0,19.0
Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336,2026-08-23 10:00:00,46.0,3.0,7.0,33.0,44.0,47.0,7.0
Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27.308328,84.531742,2026-08-23 10:00:00,28.0,1.0,15.0,29.0,76.0,,17.0
Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26.63086,84.90051,2026-08-23 10:00:00,,1.0,3.0,,,,3.0
